首发日期	最后更新	标题	出品方	体裁	出品方类型	主题	标签	出处	摘要	收录理由	出品方品牌与代表产品/项目
2026-02-01	-	SMCP: Secure Model Context Protocol	Huazhong University of Science and Technology	论文	学界	安全与攻防|协议与生态	MCP	https://arxiv.org/abs/2602.01129	提出安全版模型上下文协议设计，讨论智能体工具连接中的认证、授权、隐私和安全控制。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-31	-	Engineering AI Agents for Clinical Workflows: A Case Study in Architecture, MLOps, and Governance	A3Data, CEFET-MG	论文	产学合作	构造方式|运行与问责	empirical-study|实证测量	https://arxiv.org/abs/2602.00751	以临床工作流中的 AI 智能体为案例，介绍系统架构、机器学习运维和治理方面的工程实践。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-30	2026-05-18	Whispers of Wealth: Red-Teaming Google's Agent Payments Protocol via Prompt Injection	University of Georgia	论文	学界	安全与攻防|协议与生态	payments|支付	https://arxiv.org/abs/2601.22569	对 Google Agent Payments Protocol 开展提示注入红队测试，检查直接和间接攻击对智能体支付流程的影响。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-30	-	TessPay: Verify-then-Pay Infrastructure for Trusted Agentic Commerce	University of Oxford, Indian Institute of Technology Delhi, Tesseris.org	论文	产学合作	协议与生态|商业与组织	payments|支付	https://arxiv.org/abs/2602.00213	提出面向智能体商业交易的验证后支付基础设施，讨论任务委托、服务发现和交易信任等环节。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-29	-	Delegation Without Living Governance	AiSuNe Foundation	论文	社区与非营利	运行与问责	risk-framework|风险框架	https://arxiv.org/abs/2601.21226	讨论智能体系统中的治理、责任和人类参与问题，并论述静态规则对快速自主行动的适用边界。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-25	-	Faramesh: A Protocol-Agnostic Execution Control Plane for Autonomous Agent Systems	The Faramesh Labs	论文	厂商	构造方式|运行与问责	orchestration|编排	https://arxiv.org/abs/2601.17744	提出面向自主智能体系统的协议无关执行控制层，在产生实际副作用前对行动进行授权判断。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-24	-	Towards a Declarative Agentic Layer for Intelligent Agents in MCP-Based Server Ecosystems	Universidad de Granada	论文	学界	构造方式|协议与生态	MCP|orchestration|编排	https://arxiv.org/abs/2601.17435	研究在 MCP 服务器生态中加入声明式智能体层，以结构化方式描述任务和协调智能体行动。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-24	-	Breaking the Protocol: Security Analysis of the Model Context Protocol Specification and Prompt Injection Vulnerabilities in Tool-Integrated LLM Agents	No affiliation stated (Narek Maloyan, Dmitry Namiot)	论文	个人	安全与攻防|协议与生态	MCP	https://arxiv.org/abs/2601.17549	分析 MCP 规范与工具集成式 LLM 智能体的安全问题，讨论协议权限声明和提示注入等风险。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-22	2026-05-17	Agentic AI Governance and Lifecycle Management in Healthcare	University of the Cumberlands	论文	学界	运行与问责	risk-framework|风险框架	https://arxiv.org/abs/2601.15630	提出面向医疗机构的智能体治理与生命周期管理框架，讨论智能体登记、责任划分和权限控制。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-21	-	Interoperable Architecture for Digital Identity Delegation for AI Agents with Blockchain Integration	Universidad de Los Andes	论文	学界	安全与攻防	authorization|身份与授权	https://arxiv.org/abs/2601.14982	提出面向 AI 智能体的跨系统数字身份委托架构，讨论如何实现有边界、可审计的权限转授。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-21	-	Securing LLM-as-a-Service for Small Businesses: An Industry Case Study of a Distributed Chatbot Deployment Platform	RMIT University	论文	学界	安全与攻防|运行与问责	empirical-study|实证测量	https://arxiv.org/abs/2601.15528	以面向小企业的多租户聊天机器人平台为案例，讨论 LLM 服务部署中的基础设施、安全和运维设计。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-20	-	The Orchestration of Multi-Agent Systems: Architectures, Protocols, and Enterprise Adoption	Skan AI	论文	厂商	协议与生态|构造方式	orchestration|编排|survey|综述	https://arxiv.org/abs/2601.13671	整理多智能体编排的架构、协议和企业采用情况，并提出包含规划、策略、状态和质量管理的编排框架。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-16	2026-03-11	Beyond Max Tokens: Stealthy Resource Amplification via Tool Calling Chains in LLM Agents	Nanyang Technological University, University of Illinois Urbana-Champaign, Hong Kong University of Science and Technology, Shanghai Jiao Tong University	论文	学界	安全与攻防	tool-interface|工具接口	https://arxiv.org/abs/2601.10955	分析智能体多轮工具调用链可能被用于隐蔽放大资源消耗的方式，并研究相关拒绝服务风险。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-16	2026-01-20	Institutional AI: Governing LLM Collusion in Multi-Agent Cournot Markets via Public Governance Graphs	DEXAI Icaro Lab, Sapienza University of Rome, Sant'Anna School of Advanced Studies, VU Amsterdam	论文	产学合作	运行与问责	risk-framework|风险框架	https://arxiv.org/abs/2601.11369	构建多智能体 Cournot 市场实验框架，研究公共治理图如何影响智能体间的协同行为。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-15	-	Structure and Diversity Aware Context Bubble Construction for Enterprise Retrieval Augmented Systems	Bravada Group, Eye Dream Pty Ltd	论文	厂商	应用内部	RAG|检索增强|context-engineering|上下文工程	https://arxiv.org/abs/2601.10681	提出面向企业检索增强系统的上下文组装方法，利用结构信息和多样性约束构建连贯的检索内容。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-14	-	Beyond Rule-Based Workflows: An Information-Flow-Orchestrated Multi-Agents Paradigm via Agent-to-Agent Communication from CORAL	Coral Protocol, Brunel University of London, University of Luxembourg, University of Hull, National University of Computer and Emerging Sciences	论文	产学合作	构造方式|协议与生态	orchestration|编排	https://arxiv.org/abs/2601.09883	提出以信息流为核心的多智能体协作范式，讨论如何减少对预先枚举状态和路由规则的依赖。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-13	2026-04-19	ACE-Router: Generalizing History-Aware Routing from MCP Tools to the Agent Web	Zhejiang University, Shanghai Jiao Tong University, Huawei Technologies, Sun Yat-sen University, Nanyang Technological University, Hangzhou Dianzi University	论文	产学合作	协议与生态|构造方式	MCP|tool-interface|工具接口	https://arxiv.org/abs/2601.08276	提出历史感知的智能体路由方法，使系统能够在大量 MCP 工具和服务中选择合适目标。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-12	-	MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP	University of Science and Technology of China	论文	学界	安全与攻防	MCP	https://arxiv.org/abs/2601.07395	提出自动化的 MCP 隐式工具投毒测试框架，研究注册阶段工具元数据中的恶意指令如何影响智能体。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-12	-	Towards Verifiably Safe Tool Use for LLM Agents	Georgia Institute of Technology, Carnegie Mellon University	论文	学界	安全与攻防|构造方式	tool-interface|工具接口	https://arxiv.org/abs/2601.08012	研究如何形式化描述并验证 LLM 智能体的工具使用安全，重点讨论工具操作可能造成的数据泄露和记录修改等风险。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-08	-	Internal Representations as Indicators of Hallucinations in Agent Tool Selection	Amazon	论文	厂商	构造方式	tool-interface|工具接口	https://arxiv.org/abs/2601.05214	研究模型内部表示能否用于识别工具选择幻觉，包括错误工具、无效参数和绕过工具调用等情况。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-06	2026-01-22	Enhancing Model Context Protocol (MCP) with Context-Aware Server Collaboration	University of Chicago	论文	学界	协议与生态	MCP|context-engineering|上下文工程	https://arxiv.org/abs/2601.11595	提出为 MCP 服务器协作增加共享上下文机制，使智能体可在多服务器任务中传递任务相关状态。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-01-03	2026-06-22	MCP-SandboxScan: WASM-based Secure Execution and Runtime Analysis for MCP Tools	University of Glasgow, Aarhus University	论文	学界	安全与攻防	MCP	https://arxiv.org/abs/2601.01241	提出基于 WebAssembly 的 MCP 工具安全执行与运行时分析框架，用于隔离工具并检查其行为。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-12-16	2026-08-09	Agent Skills: specification and documentation	Agent Skills project	规范	标准组织	构造方式|协议与生态	skills|技能	https://github.com/agentskills/agentskills	定义 Agent Skills 开放规范，以包含 SKILL.md、脚本和资源的目录为单位，为智能体提供可复用能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-12-09	-	2025: The State of Generative AI in the Enterprise (survey of 495 respondents)	Menlo Ventures	报告	投资机构	商业与组织	market-data|市场数据	https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/	Menlo Ventures 基于 495 名受访者的调查报告，汇总企业生成式 AI 的采用、应用场景和支出情况。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-12-09	-	OWASP Top 10 for Agentic Applications for 2026	OWASP GenAI Security Project	规范	社区与非营利	安全与攻防	risk-framework|风险框架	https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/	列出智能体应用的主要安全风险类别，并提供供开发团队和组织使用的风险说明与防护建议。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-11-25	-	Securing the Model Context Protocol (MCP): Risks, Controls, and Governance	Vanta, MintMCP, Darktrace	论文	厂商	安全与攻防	MCP	https://arxiv.org/abs/2511.20920	梳理 MCP 工具连接引入的安全威胁、相关控制措施和组织治理议题。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-11-21	-	Computer use tool	Anthropic	文档	厂商	界面与接入	computer-use|计算机操作|tool-interface|工具接口	https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool	说明如何向 Claude 提供屏幕截图、鼠标和键盘控制能力，使模型能够与桌面环境交互。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Anthropic；Claude computer use
2025-11-05	-	Technology Radar: Model Context Protocol (MCP) assessed as Trial	ThoughtWorks	报告	分析机构	协议与生态	MCP	https://www.thoughtworks.com/radar/platforms/model-context-protocol-mcp	Thoughtworks 技术雷达评估 MCP 的定位和适用场景，并将其列为 Trial 阶段技术。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-10-16	-	Equipping agents for the real world with Agent Skills	Anthropic	文章	厂商	构造方式	skills|技能|context-engineering|上下文工程	https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills	介绍 Anthropic 如何用模块化技能说明、脚本和资源为智能体提供处理现实任务的专门流程。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Anthropic；Claude Agent Skills
2025-09-28	-	State of AI-assisted Software Development 2025	DORA (Google Cloud)	报告	厂商	商业与组织	empirical-study|实证测量|market-data|市场数据	https://dora.dev/research/2025/dora-report/	DORA 的研究报告讨论 AI 辅助软件开发的使用情况，并呈现其调查结果及与软件交付、组织能力相关的分析。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	Google Cloud；DORA
2025-09-22	2026-09-10	anthropics/skills: public repository for Agent Skills	Anthropic	文档	厂商	构造方式	skills|技能	https://github.com/anthropics/skills	收录 Anthropic 为 Claude 提供的技能示例，内容包括可重复使用的操作说明、脚本和配套资源。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Anthropic；Claude Skills
2025-09-11	-	Writing effective tools for agents — with agents	Anthropic	文章	厂商	构造方式	tool-interface|工具接口	https://www.anthropic.com/engineering/writing-tools-for-agents	Anthropic 介绍借助智能体设计和优化智能体工具的实践，并讨论工具质量与评估方法。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-09-01	-	An Economy of AI Agents (NBER handbook chapter)	Johns Hopkins University, MIT	论文	学界	商业与组织	survey|综述	https://arxiv.org/abs/2509.01063	经济学手册章节综述 AI 智能体与个人、市场及组织互动的研究进展和待研究问题。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-08-25	-	ACP Joins Forces with A2A Under the Linux Foundation	BeeAI project (led by IBM Research)	文章	标准组织	协议与生态	ACP|A2A	https://github.com/orgs/i-am-bee/discussions/5	公告说明 ACP 项目将与 A2A 在 Linux Foundation 旗下协同，讨论协议项目整合安排。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-08-22	2025-10-11	MCPVerse: An Expansive, Real-World Benchmark for Agentic Tool Use	SenseTime Research	论文	厂商	构造方式	MCP|benchmark|基准评测	https://arxiv.org/abs/2508.16260	构建包含 550 多个真实可执行工具的 MCPVerse 基准，用于评测智能体在现实工具环境中的使用能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-08-19	2026-09-10	AGENTS.md: a simple, open format for guiding coding agents	AGENTS.md project	规范	标准组织	构造方式|协议与生态	skills|技能	https://github.com/agentsmd/agents.md	定义一个用于向代码智能体提供项目背景和操作约定的开放文件格式，可在代码仓库中放置 AGENTS.md 指南。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-08-05	2025-10-20	Evolution of AI Agent Registry Solutions: Centralized, Enterprise, and Distributed Approaches	MIT, Cisco, Cleveland State University, et al.	论文	产学合作	协议与生态	registry|注册表|survey|综述	https://arxiv.org/abs/2508.03095	比较集中式、企业内和分布式 AI 智能体注册表方案，讨论发现、能力协商与身份保障。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-07-17	2025-07-21	A Survey of Context Engineering for Large Language Models	Institute of Computing Technology CAS, Peking University, Tsinghua University, et al.	论文	学界	应用内部	context-engineering|上下文工程|survey|综述	https://arxiv.org/abs/2507.13334	对上下文工程进行综述和分类，讨论推理阶段如何选择、组织和优化提供给大语言模型的信息。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-06-26	2026-09-20	Qwen Code: an open-source AI coding agent that lives in your terminal	Alibaba (QwenLM)	文档	厂商	构造方式|界面与接入	tool-interface|工具接口|orchestration|编排	https://github.com/QwenLM/qwen-code	提供基于 Qwen 的开源终端编程智能体，可在命令行中理解项目并执行软件开发任务。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Alibaba；Qwen Code
2025-05-30	2026-06-17	AP2: Agent Payments Protocol — building a secure and interoperable future for AI-driven payments	Google	规范	厂商	协议与生态|商业与组织	payments|支付	https://github.com/google-agentic-commerce/AP2	该仓库提供 Agent Payments Protocol 的代码示例与演示，用于展示智能体发起支付时的协议流程。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	Google；AP2
2025-05-22	-	Fin AI Agent Pricing (per-outcome)	Intercom	文档	厂商	商业与组织	pricing|定价	https://fin.ai/pricing	列出 Intercom Fin 客服智能体按解决结果计费的价格和服务方案。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	Intercom；Fin AI Agent
2025-05-14	2026-09-18	Strands Agents: build an agent harness and control it end-to-end	Amazon Web Services	文档	厂商	构造方式	orchestration|编排	https://github.com/strands-agents/harness-sdk	介绍一种以模型调用为中心的智能体开发框架，支持连接模型、工具和多个智能体来构建应用。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	AWS；Strands Agents
2025-05-06	-	From Glue-Code to Protocols: A Critical Analysis of A2A and MCP Integration	Kennesaw State University	论文	学界	协议与生态	MCP|A2A	https://arxiv.org/abs/2505.03864	分析 A2A 与 MCP 在多智能体系统中的分工、互补关系及组合时的集成问题。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-05-01	-	Extend Atlassian into any AI assistant using MCP	Atlassian	文档	厂商	界面与接入|运行与问责	MCP	https://www.atlassian.com/platform/remote-mcp-server	介绍 Atlassian Remote MCP Server 如何将获授权的 Jira、Confluence 等数据和操作接入外部 AI 助手。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-04-28	2026-08-11	NLWeb: reference implementation for a natural language interface to websites	NLWeb project	文档	厂商	界面与接入	tool-interface|工具接口	https://github.com/nlweb-ai/NLWeb	提供网站自然语言问答界面，将结构化网站内容转换为供用户和 AI 助手查询的接口，并支持 MCP。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-04-17	2026-09-20	Gemini CLI: an open-source AI agent that brings the power of Gemini directly into your terminal	Google	文档	厂商	构造方式|界面与接入	tool-interface|工具接口|orchestration|编排	https://github.com/google-gemini/gemini-cli	Google 的开源终端 AI 智能体，为命令行提供 Gemini 模型驱动的交互式开发与工具操作能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Google；Gemini CLI
2025-04-13	2026-09-20	Codex: lightweight coding agent that runs in your terminal	OpenAI	文档	厂商	构造方式|界面与接入	tool-interface|工具接口|orchestration|编排	https://github.com/openai/codex	OpenAI 的本地终端编程智能体，可在代码仓库中协助理解和修改代码并执行开发任务。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	OpenAI；Codex
2025-04-11	2025-05-02	Enterprise-Grade Security for the Model Context Protocol (MCP)	Amazon Web Services, Intuit	论文	厂商	安全与攻防	MCP	https://arxiv.org/abs/2504.08623	提出 MCP 企业安全框架，梳理协议集成中的风险并汇总相应的控制和缓解策略。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-04-08	2026-03-03	awesome-mcp-security	Maciej Pulikowski (Puliczek)	清单	个人	安全与攻防	MCP|curated-list|资源清单	https://github.com/Puliczek/awesome-mcp-security	整理 MCP 安全相关的规范说明、论文、工具、视频和文章链接。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-04-01	2026-09-20	Agent Development Kit: an open-source, code-first Python toolkit for building agents	Google	文档	厂商	构造方式	orchestration|编排	https://github.com/google/adk-python	Google 的 Python 开发工具包，提供构建、组合和运行智能体所需的模型、工具、工作流与会话能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Google AI；Agent Development Kit
2025-03-25	2026-09-16	A2A Protocol	Linux Foundation	文档	标准组织	协议与生态	A2A	https://a2a-protocol.org/latest/	定义 Agent2Agent 开放协议，使不同厂商的智能体能够发现彼此、交换任务并协作。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-03-21	2026-09-18	Playwright MCP server	Microsoft	文档	厂商	界面与接入	MCP|computer-use|计算机操作	https://github.com/microsoft/playwright-mcp	将 Playwright 浏览器自动化能力封装为 MCP 工具，使智能体可通过结构化页面信息操作网页。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Microsoft；Playwright MCP
2025-03-11	2026-09-20	OpenAI Agents SDK: a lightweight, powerful framework for multi-agent workflows	OpenAI	文档	厂商	构造方式	orchestration|编排|tool-interface|工具接口	https://github.com/openai/openai-agents-python	提供构建智能体和多智能体工作流的 Python SDK，包含工具调用、交接、护栏、会话及追踪能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	OpenAI；Agents SDK
2025-02-22	2026-09-20	Claude Code: an agentic coding tool that lives in your terminal	Anthropic	文档	厂商	构造方式|界面与接入	tool-interface|工具接口|orchestration|编排	https://github.com/anthropics/claude-code	Anthropic 的终端编程智能体，可理解代码库、执行开发任务、解释代码并处理 Git 工作流。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Anthropic；Claude Code
2025-02-12	-	Salesforce Agentforce Pricing (per-conversation)	Salesforce	文档	厂商	商业与组织	pricing|定价	https://www.salesforce.com/agentforce/pricing/	列出 Salesforce Agentforce 的产品套餐和按对话计费选项，供客户了解智能体产品定价方式。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	Salesforce；Agentforce
2025-02-05	2026-09-16	MCP Registry: a community driven registry service for Model Context Protocol servers	Model Context Protocol	文档	标准组织	协议与生态	MCP|registry|注册表	https://github.com/modelcontextprotocol/registry	提供 MCP 服务器注册服务，使 MCP 客户端能够发现和获取已发布服务器条目。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2025-01-19	2026-01-27	UI-TARS: pioneering automated GUI interaction with native agents	ByteDance	文档	厂商	界面与接入	tool-interface|工具接口	https://github.com/bytedance/UI-TARS	介绍用于图形界面交互的视觉智能体模型与系统，使模型根据屏幕内容生成界面操作。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	ByteDance；UI-TARS
2025-01-17	2026-07-11	Terminal-Bench: a benchmark for LLMs on complicated tasks in the terminal	Harbor	文档	社区与非营利	构造方式|界面与接入	benchmark|基准评测	https://github.com/harbor-framework/terminal-bench-1	提供面向终端环境的智能体任务基准，用于评测模型在命令行中操作工具、完成软件工程及系统任务的能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-12-05	2026-07-20	Browserbase MCP server: allow LLMs to control a browser	Browserbase	文档	厂商	界面与接入	MCP|computer-use|计算机操作	https://github.com/browserbase/mcp-server-browserbase	该仓库提供连接 LLM 与 Browserbase 浏览器会话的 MCP 服务器参考实现；仓库已归档，作者说明其不代表当前生产服务。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-12-05	2026-08-25	smolagents: a barebones library for agents that think in code	Hugging Face	文档	厂商	构造方式	orchestration|编排|tool-interface|工具接口	https://github.com/huggingface/smolagents	提供轻量级 Python 智能体框架，支持用代码生成行动或调用工具来执行任务。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-11-30	2026-09-15	awesome-mcp-servers: a collection of MCP servers	Frank Fiegel (punkpeye)	清单	个人	协议与生态	MCP|curated-list|资源清单	https://github.com/punkpeye/awesome-mcp-servers	按类别收集 MCP 服务器项目，为不同客户端和用途提供可浏览的服务器目录。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-11-18	2026-04-29	AgentKit: build multi-agent networks in TypeScript	Inngest	文档	厂商	构造方式	orchestration|编排	https://github.com/inngest/agent-kit	提供 TypeScript 多智能体开发工具，用于定义智能体、任务工具及协作流程。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-09-01	2026-09-04	llms.txt: helping language models use websites	Answer.AI	规范	厂商	界面与接入|协议与生态	context-engineering|上下文工程	https://github.com/AnswerDotAI/llms-txt	提出一种网站侧的 Markdown 文件约定，用于向语言模型介绍网站内容结构、重要页面和访问提示。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-08-10	-	Implementation Timeline — EU Artificial Intelligence Act	Future of Life Institute (tracker)	清单	社区与非营利	运行与问责	regulation|法规	https://artificialintelligenceact.eu/implementation-timeline/	整理欧盟 AI Act 的适用义务和实施时间节点，按法规要求列出不同阶段的日期安排。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-08-06	2026-09-20	Mastra: the modern TypeScript framework for AI agents	Mastra	文档	厂商	构造方式	orchestration|编排	https://github.com/mastra-ai/mastra	TypeScript 智能体开发平台，涵盖工作流、检索增强生成、记忆、评估及应用部署。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
